score,score_dealer,hard,score_if_hit,score_fin_dealer,game_id,hard_if_hit
17,3,True,19,23,340,True
19,3,True,29,23,340,True
9,3,True,14,23,341,True
14,3,True,15,23,341,True
15,3,True,25,23,341,True
9,3,True,17,23,342,True
17,3,True,26,23,342,True
13,6,True,21,18,343,True
18,6,True,27,18,344,True
19,6,True,28,18,345,True
21,3,True,,19,346,
13,3,True,16,19,347,True
16,3,True,24,19,347,True
7,3,True,11,19,348,True
11,3,True,14,19,348,True
14,3,True,19,19,348,True
19,3,True,27,19,348,True
7,3,True,12,19,349,True
12,3,True,19,19,349,True
19,3,True,29,19,349,True
17,4,True,18,18,350,True
18,4,True,21,18,350,True
10,4,True,20,18,351,True
20,4,True,27,18,351,True
10,4,True,20,18,352,True
20,4,True,22,18,352,True
14,4,True,20,18,353,True
20,4,True,30,18,353,True
13,5,True,23,21,354,True
10,5,True,17,21,355,True
17,5,True,27,21,355,True
10,5,True,17,21,356,True
17,5,True,25,21,356,True
10,5,True,16,21,357,True
16,5,True,20,21,357,True
20,5,True,25,21,357,True
13,4,True,15,20,358,True
15,4,True,19,20,358,True
19,4,True,29,20,358,True
19,4,True,21,20,359,True
19,4,True,15,20,360,True
15,4,True,25,20,360,True
11,10,True,21,20,361,True
19,10,True,25,20,362,True
19,10,True,23,20,363,True
17,5,True,17,23,364,True
17,5,True,27,23,364,True
14,5,True,14,23,365,True
14,5,True,21,23,365,True
14,5,True,21,23,366,True
6,5,True,14,17,367,True
14,5,True,24,17,367,True
16,5,True,18,17,368,True
18,5,True,28,17,368,True
9,5,True,19,17,369,True
19,5,True,29,17,369,True
13,2,True,23,22,370,True
12,2,True,22,22,371,True
21,2,True,,22,372,
19,11,True,29,17,373,True
15,11,True,25,17,374,True
15,11,True,22,17,375,True
8,10,True,13,19,376,True
13,10,True,17,19,376,True
17,10,True,27,19,376,True
8,10,True,18,19,377,True
18,10,True,20,19,377,True
20,10,True,30,19,377,True
10,10,True,18,19,378,True
18,10,True,20,19,378,True
20,10,True,25,19,378,True
10,10,True,17,19,379,True
17,10,True,27,19,379,True
12,9,True,15,19,380,True
15,9,True,18,19,380,True
18,9,True,19,19,380,True
19,9,True,29,19,380,True
16,9,True,24,19,381,True
9,9,True,19,19,382,True
19,9,True,20,19,382,True
20,9,True,27,19,382,True
10,8,True,18,18,383,True
18,8,True,22,18,383,True
10,8,True,12,18,384,True
12,8,True,22,18,384,True
9,8,True,11,18,385,True
11,8,True,18,18,385,True
18,8,True,28,18,385,True
9,8,True,17,18,386,True
17,8,True,18,18,386,True
18,8,True,24,18,386,True
15,8,True,18,18,387,True
18,8,True,28,18,387,True
10,10,True,19,20,388,True
19,10,True,25,20,388,True
10,10,True,14,20,389,True
14,10,True,22,20,389,True
18,10,True,27,20,390,True
9,10,True,19,20,391,True
19,10,True,20,20,391,True
20,10,True,29,20,391,True
7,3,True,15,21,392,True
15,3,True,24,21,392,True
13,3,True,17,21,393,True
17,3,True,16,21,393,True
16,3,True,18,21,393,True
18,3,True,28,21,393,True
10,3,True,21,21,394,True
10,3,True,17,21,395,True
17,3,True,27,21,395,True
16,10,True,21,20,396,True
15,10,True,21,20,397,True
15,10,True,16,20,398,True
16,10,True,25,20,398,True
21,6,True,,18,399,
17,6,True,27,18,400,True
18,6,True,25,18,401,True
21,3,True,,20,402,
16,3,True,25,20,403,True
11,3,True,21,20,404,True
11,6,True,21,26,405,True
16,6,True,22,26,406,True
14,6,True,23,26,407,True
10,7,True,20,26,408,True
20,7,True,26,26,408,True
10,7,True,17,26,409,True
17,7,True,19,26,409,True
19,7,True,29,26,409,True
14,7,True,22,26,410,True
8,7,True,19,26,411,True
19,7,True,15,26,411,True
15,7,True,20,26,411,True
20,7,True,29,26,411,True
19,10,True,21,20,412,True
15,10,True,25,20,413,True
14,10,True,23,20,414,True
14,10,True,24,21,415,True
7,10,True,10,21,416,True
10,10,True,20,21,416,True
20,10,True,30,21,416,True
15,10,True,15,21,417,True
15,10,True,18,21,417,True
18,10,True,21,21,417,True
7,4,True,17,21,418,True
17,4,True,18,21,418,True
18,4,True,23,21,418,True
8,4,True,18,21,419,True
18,4,True,28,21,419,True
10,4,True,20,21,420,True
20,4,True,29,21,420,True
10,4,True,12,21,421,True
12,4,True,21,21,421,True
21,10,True,,22,422,
12,10,True,14,22,423,True
